Ticker,Company Name,Sector
CI,Cigna,Managed Health Care
CINF,Cincinnati Financial,Property & Casualty Insurance
CTAS,Cintas,Diversified Support Services
CSCO,Cisco,Communications Equipment
C,Citigroup,Diversified Banks
CFG,Citizens Financial Group,Regional Banks
CLX,Clorox,Household Products
CME,CME Group,Financial Exchanges & Data
CMS,CMS Energy,Multi-Utilities
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant,IT Consulting & Other Services
CL,Colgate-Palmolive,Household Products
CMCSA,Comcast,Cable & Satellite
CMA,Comerica,Diversified Banks
CAG,Conagra Brands,Packaged Foods & Meats
COP,ConocoPhillips,Oil & Gas Exploration & Production
ED,Consolidated Edison,Electric Utilities
STZ,Constellation Brands,Distillers & Vintners
CEG,Constellation Energy,Multi-Utilities
COO,CooperCompanies,Health Care Supplies
CPRT,Copart,Diversified Support Services
GLW,Corning Inc.,Electronic Components
CTVA,Corteva,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,Real Estate Services
COST,Costco,Consumer Staples Merchandise Retail
CTRA,Coterra,Oil & Gas Exploration & Production
CCI,Crown Castle,Telecom Tower REITs
CSX,CSX,Rail Transportation
CMI,Cummins,Industrial Machinery & Supplies & Components
CVS,CVS Health,Health Care Services
DHI,D.R. Horton,Homebuilding
DHR,Danaher Corporation,Health Care Equipment
DRI,Darden Restaurants,Restaurants
DVA,DaVita Inc.,Health Care Facilities
DE,John Deere,Agricultural & Farm Machinery
DAL,Delta Air Lines,Passenger Airlines
XRAY,Dentsply Sirona,Health Care Supplies
DVN,Devon Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,Health Care Equipment
FANG,Diamondback Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,Data Center REITs
DFS,Discover Financial,Consumer Finance
DIS,Disney,Movies & Entertainment
DG,Dollar General,Consumer Staples Merchandise Retail
DLTR,Dollar Tree,Consumer Staples Merchandise Retail
D,Dominion Energy,Electric Utilities
DPZ,Domino's,Restaurants
DOV,Dover Corporation,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,Commodity Chemicals
DTE,DTE Energy,Multi-Utilities
DUK,Duke Energy,Electric Utilities
DD,DuPont,Specialty Chemicals
EMN,Eastman Chemical Company,Diversified Chemicals
ETN,Eaton Corporation,Electrical Components & Equipment
EBAY,eBay,Broadline Retail
ECL,Ecolab,Specialty Chemicals
EIX,Edison International,Electric Utilities
EW,Edwards Lifesciences,Health Care Equipment
EA,Electronic Arts,Interactive Home Entertainment
ELV,Elevance Health,Managed Health Care
LLY,Eli Lilly and Company,Pharmaceuticals
EMR,Emerson Electric,Electrical Components & Equipment
ENPH,Enphase,Electronic Components
ETR,Entergy,Electric Utilities
EOG,EOG Resources,Oil & Gas Exploration & Production
EPAM,EPAM Systems,IT Consulting & Other Services
EQT,EQT,Oil & Gas Exploration & Production
EFX,Equifax,Research & Consulting Services
EQIX,Equinix,Data Center REITs
EQR,Equity Residential,Multi-Family Residential REITs
ESS,Essex Property Trust,Multi-Family Residential REITs
EL,Estée Lauder Companies (The),Personal Care Products
ETSY,Etsy,Broadline Retail
EG,Everest Re,Reinsurance
EVRG,Evergy,Electric Utilities
ES,Eversource,Multi-Utilities
EXC,Exelon,Multi-Utilities
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines"
EXPD,Expeditors International,Air Freight & Logistics
EXR,Extra Space Storage,Self-Storage REITs
XOM,ExxonMobil,Integrated Oil & Gas
FFIV,"F5, Inc.",Communications Equipment
FDS,FactSet,Financial Exchanges & Data
FICO,Fair Isaac,Application Software
FAST,Fastenal,Building Products
FRT,Federal Realty,Retail REITs
FDX,FedEx,Air Freight & Logistics
FITB,Fifth Third Bank,Regional Banks
FSLR,First Solar,Semiconductors
FE,FirstEnergy,Electric Utilities
FIS,FIS,Transaction & Payment Processing Services
FI,Fiserv,Transaction & Payment Processing Services
FLT,Fleetcor,Transaction & Payment Processing Services
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals
F,Ford Motor Company,Automobile Manufacturers
FTNT,Fortinet,Systems Software
FTV,Fortive,Industrial Machinery & Supplies & Components
FOXA,Fox Corporation (Class A),Movies & Entertainment
FOX,Fox Corporation (Class B),Movies & Entertainment
BEN,Franklin Templeton,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Copper
GRMN,Garmin,Consumer Electronics
IT,Gartner,IT Consulting & Other Services
GEHC,GE HealthCare,Health Care Technology
GEN,Gen Digital,Application Software
GNRC,Generac,Electrical Components & Equipment
GD,General Dynamics,Aerospace & Defense
GE,General Electric,Industrial Conglomerates
GIS,General Mills,Packaged Foods & Meats
GM,General Motors,Automobile Manufacturers
GPC,Genuine Parts Company,Automotive Parts & Equipment
GILD,Gilead Sciences,Biotechnology
GL,Globe Life,Life & Health Insurance
GPN,Global Payments,Transaction & Payment Processing Services
GS,Goldman Sachs,Investment Banking & Brokerage
HAL,Halliburton,Oil & Gas Equipment & Services
HIG,Hartford (The),Property & Casualty Insurance
HAS,Hasbro,Leisure Products
HCA,HCA Healthcare,Health Care Facilities
PEAK,Healthpeak,Health Care REITs
HSIC,Henry Schein,Health Care Distributors
HSY,Hershey's,Packaged Foods & Meats
HES,Hess Corporation,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,Health Care Equipment
HD,Home Depot (The),Home Improvement Retail
HON,Honeywell,Industrial Conglomerates
HRL,Hormel Foods,Packaged Foods & Meats
HST,Host Hotels & Resorts,Hotel & Resort REITs
HWM,Howmet Aerospace,Aerospace & Defense
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals"
HUM,Humana,Managed Health Care
HBAN,Huntington Bancshares,Regional Banks
HII,Huntington Ingalls Industries,Aerospace & Defense
IBM,IBM,IT Consulting & Other Services
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components
IDXX,Idexx Laboratories,Health Care Equipment
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components
ILMN,Illumina,Life Sciences Tools & Services
INCY,Incyte,Biotechnology
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components
PODD,Insulet,Health Care Equipment
INTC,Intel,Semiconductors
ICE,Intercontinental Exchange,Financial Exchanges & Data
IFF,International Flavors & Fragrances,Specialty Chemicals
IP,International Paper,Paper & Plastic Packaging Products & Materials
IPG,Interpublic Group of Companies (The),Advertising
INTU,Intuit,Application Software
ISRG,Intuitive Surgical,Health Care Equipment
IVZ,Invesco,Asset Management & Custody Banks
INVH,Invitation Homes,Single-Family Residential REITs
IQV,IQVIA,Life Sciences Tools & Services
IRM,Iron Mountain,Other Specialized REITs
JBHT,J.B. Hunt,Cargo Ground Transportation
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services
J,Jacobs Solutions,Construction & Engineering
JNJ,Johnson & Johnson,Pharmaceuticals
JCI,Johnson Controls,Building Products
JPM,JPMorgan Chase,Diversified Banks
JNPR,Juniper Networks,Communications Equipment
K,Kellogg's,Packaged Foods & Meats
KVUE,Kenvue,Personal Care Products
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages
KEY,KeyCorp,Regional Banks
KEYS,Keysight,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Household Products
KIM,Kimco Realty,Retail REITs
KMI,Kinder Morgan,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,Semiconductor Materials & Equipment
KHC,Kraft Heinz,Packaged Foods & Meats
KR,Kroger,Food Retail
LHX,L3Harris,Aerospace & Defense
LH,LabCorp,Health Care Services
LRCX,Lam Research,Semiconductor Materials & Equipment
LW,Lamb Weston,Packaged Foods & Meats
LVS,Las Vegas Sands,Casinos & Gaming
LDOS,Leidos,Diversified Support Services
LEN,Lennar,Homebuilding
LIN,Linde plc,Industrial Gases
LYV,Live Nation Entertainment,Movies & Entertainment
LKQ,LKQ Corporation,Distributors
LMT,Lockheed Martin,Aerospace & Defense
L,Loews Corporation,Multi-line Insurance
LOW,Lowe's,Home Improvement Retail
LYB,LyondellBasell,Specialty Chemicals
MTB,M&T Bank,Regional Banks
MRO,Marathon Oil,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Financial Exchanges & Data
MAR,Marriott International,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,Insurance Brokers
MLM,Martin Marietta Materials,Construction Materials
MAS,Masco,Building Products
MA,Mastercard,Transaction & Payment Processing Services
MTCH,Match Group,Interactive Media & Services
MKC,McCormick & Company,Packaged Foods & Meats
MCD,McDonald's,Restaurants
MCK,McKesson,Health Care Distributors
MDT,Medtronic,Health Care Equipment
MRK,Merck & Co.,Pharmaceuticals
META,Meta Platforms,Interactive Media & Services
MET,MetLife,Life & Health Insurance
MTD,Mettler Toledo,Life Sciences Tools & Services
MGM,MGM Resorts,Casinos & Gaming
MCHP,Microchip Technology,Semiconductors
MU,Micron Technology,Semiconductors
MSFT,Microsoft,Systems Software
MAA,Mid-America Apartment Communities,Multi-Family Residential REITs
MRNA,Moderna,Biotechnology
MHK,Mohawk Industries,Home Furnishings
MOH,Molina Healthcare,Managed Health Care
TAP,Molson Coors Beverage Company,Brewers
MDLZ,Mondelez International,Packaged Foods & Meats
MPWR,Monolithic Power Systems,Semiconductors
MNST,Monster Beverage,Soft Drinks & Non-alcoholic Beverages
MCO,Moody's Corporation,Financial Exchanges & Data
MS,Morgan Stanley,Investment Banking & Brokerage
MOS,Mosaic Company (The),Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,Communications Equipment
MSCI,MSCI,Financial Exchanges & Data
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data
NTAP,NetApp,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,Movies & Entertainment
NEM,Newmont,Gold
NWSA,News Corp (Class A),Publishing
NWS,News Corp (Class B),Publishing
NEE,NextEra Energy,Multi-Utilities
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods"
NI,NiSource,Multi-Utilities
NDSN,Nordson Corporation,Industrial Machinery & Supplies & Components
NSC,Norfolk Southern Railway,Rail Transportation
NTRS,Northern Trust,Asset Management & Custody Banks
NOC,Northrop Grumman,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,Independent Power Producers & Energy Traders
NUE,Nucor,Steel
NVDA,Nvidia,Semiconductors
NVR,"NVR, Inc.",Homebuilding
NXPI,NXP Semiconductors,Semiconductors
ORLY,O'Reilly Auto Parts,Automotive Retail
OXY,Occidental Petroleum,Oil & Gas Exploration & Production
ODFL,Old Dominion,Cargo Ground Transportation
OMC,Omnicom Group,Advertising
ON,ON Semiconductor,Semiconductors
OKE,ONEOK,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,Application Software
OGN,Organon & Co.,Pharmaceuticals
OTIS,Otis Worldwide,Industrial Machinery & Supplies & Components
PCAR,Paccar,Construction Machinery & Heavy Transportation Equipment
PKG,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials
PANW,Palo Alto Networks,Application Software
PARA,Paramount Global,Movies & Entertainment
PH,Parker Hannifin,Industrial Machinery & Supplies & Components
PAYX,Paychex,Human Resource & Employment Services
PAYC,Paycom,Human Resource & Employment Services
PYPL,PayPal,Transaction & Payment Processing Services
PNR,Pentair,Industrial Machinery & Supplies & Components
PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer,Pharmaceuticals
PCG,PG&E Corporation,Multi-Utilities
PM,Philip Morris International,Tobacco
PSX,Phillips 66,Oil & Gas Refining & Marketing
PNW,Pinnacle West,Multi-Utilities
PXD,Pioneer Natural Resources,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Regional Banks
POOL,Pool Corporation,Distributors
PPG,PPG Industries,Specialty Chemicals
PPL,PPL Corporation,Electric Utilities
PFG,Principal Financial Group,Life & Health Insurance
PG,Procter & Gamble,Personal Care Products
PGR,Progressive Corporation,Property & Casualty Insurance
PLD,Prologis,Industrial REITs
PRU,Prudential Financial,Life & Health Insurance
PEG,Public Service Enterprise Group,Electric Utilities
PTC,PTC,Application Software
PSA,Public Storage,Self-Storage REITs
PHM,PulteGroup,Homebuilding
QRVO,Qorvo,Semiconductors
PWR,Quanta Services,Construction & Engineering
QCOM,Qualcomm,Semiconductors
DGX,Quest Diagnostics,Health Care Services
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James,Investment Banking & Brokerage
RTX,RTX Corporation,Aerospace & Defense
O,Realty Income,Retail REITs
REG,Regency Centers,Retail REITs
REGN,Regeneron,Biotechnology
RF,Regions Financial Corporation,Regional Banks
RSG,Republic Services,Environmental & Facilities Services
RMD,ResMed,Health Care Equipment
RVTY,Revvity,Health Care Equipment
RHI,Robert Half,Human Resource & Employment Services
ROK,Rockwell Automation,Electrical Components & Equipment
ROL,"Rollins, Inc.",Environmental & Facilities Services
ROP,Roper Technologies,Electronic Equipment & Instruments
ROST,Ross Stores,Apparel Retail
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines"
SPGI,S&P Global,Financial Exchanges & Data
CRM,Salesforce,Application Software
SBAC,SBA Communications,Telecom Tower REITs
SLB,Schlumberger,Oil & Gas Equipment & Services
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals"
SEE,Sealed Air,Paper & Plastic Packaging Products & Materials
SRE,Sempra Energy,Multi-Utilities
NOW,ServiceNow,Systems Software
SHW,Sherwin-Williams,Specialty Chemicals
SPG,Simon Property Group,Retail REITs
SWKS,Skyworks Solutions,Semiconductors
SJM,J.M. Smucker Company (The),Packaged Foods & Meats
SNA,Snap-on,Industrial Machinery & Supplies & Components
SEDG,SolarEdge,Semiconductor Materials & Equipment
SO,Southern Company,Electric Utilities
LUV,Southwest Airlines,Passenger Airlines
SWK,Stanley Black & Decker,Industrial Machinery & Supplies & Components
SBUX,Starbucks,Restaurants
STT,State Street Corporation,Asset Management & Custody Banks
STLD,Steel Dynamics,Steel
STE,Steris,Health Care Equipment
SYK,Stryker Corporation,Health Care Equipment
SYF,Synchrony Financial,Consumer Finance
SNPS,Synopsys,Application Software
SYY,Sysco,Food Distributors
TMUS,T-Mobile US,Wireless Telecommunication Services
TROW,T. Rowe Price,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Interactive Home Entertainment
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,Oil & Gas Storage & Transportation
TGT,Target Corporation,Consumer Staples Merchandise Retail
TEL,TE Connectivity,Electronic Manufacturing Services
TDY,Teledyne Technologies,Electronic Equipment & Instruments
TFX,Teleflex,Health Care Equipment
TER,Teradyne,Semiconductor Materials & Equipment
TSLA,"Tesla, Inc.",Automobile Manufacturers
TXN,Texas Instruments,Semiconductors
TXT,Textron,Aerospace & Defense
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services
TJX,TJX Companies,Apparel Retail
TSCO,Tractor Supply,Specialty Stores
TT,Trane Technologies,Building Products
TDG,TransDigm Group,Aerospace & Defense
TRV,Travelers Companies (The),Property & Casualty Insurance
TRMB,Trimble Inc.,Electronic Equipment & Instruments
TFC,Truist,Regional Banks
TYL,Tyler Technologies,Application Software
TSN,Tyson Foods,Packaged Foods & Meats
USB,U.S. Bank,Diversified Banks
UDR,"UDR, Inc.",Multi-Family Residential REITs
ULTA,Ulta Beauty,Specialty Stores
UNP,Union Pacific Corporation,Rail Transportation
UAL,United Airlines Holdings,Passenger Airlines
UPS,United Parcel Service,Air Freight & Logistics
URI,United Rentals,Trading Companies & Distributors
UNH,UnitedHealth Group,Managed Health Care
UHS,Universal Health Services,Health Care Facilities
VLO,Valero Energy,Oil & Gas Refining & Marketing
VTR,Ventas,Health Care REITs
VLTO,Veralto,
VRSN,Verisign,Internet Services & Infrastructure
VRSK,Verisk,Research & Consulting Services
VZ,Verizon,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,Biotechnology
VFC,VF Corporation,"Apparel, Accessories & Luxury Goods"
VTRS,Viatris,Pharmaceuticals
VICI,Vici Properties,Hotel & Resort REITs
V,Visa Inc.,Transaction & Payment Processing Services
VMC,Vulcan Materials Company,Construction Materials
WAB,Wabtec,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,Drug Retail
WMT,Walmart,Consumer Staples Merchandise Retail
WBD,Warner Bros. Discovery,Broadcasting
WM,Waste Management,Environmental & Facilities Services
WAT,Waters Corporation,Health Care Distributors
WEC,WEC Energy Group,Electric Utilities
WFC,Wells Fargo,Diversified Banks
WELL,Welltower,Health Care REITs
WST,West Pharmaceutical Services,Health Care Supplies
WDC,Western Digital,"Technology Hardware, Storage & Peripherals"
WRK,WestRock,Paper & Plastic Packaging Products & Materials
WY,Weyerhaeuser,Timber REITs
WHR,Whirlpool Corporation,Household Appliances
WMB,Williams Companies,Oil & Gas Storage & Transportation
WTW,Willis Towers Watson,Insurance Brokers
GWW,W. W. Grainger,Industrial Machinery & Supplies & Components
WYNN,Wynn Resorts,Casinos & Gaming
XEL,Xcel Energy,Multi-Utilities
XYL,Xylem Inc.,Industrial Machinery & Supplies & Components
YUM,Yum! Brands,Restaurants
ZBRA,Zebra Technologies,Electronic Equipment & Instruments
ZBH,Zimmer Biomet,Health Care Equipment
ZION,Zions Bancorporation,Regional Banks
ZTS,Zoetis,Pharmaceuticals
